iter	Passed	Remaining
0	475	475080
1	800	399413
2	1129	375351
3	1606	400135
4	1982	394560
5	2316	383765
6	2631	373354
7	3009	373186
8	3351	369054
9	3712	367550
10	4021	361525
11	4368	359681
12	4711	357728
13	5111	360007
14	5511	361898
15	5813	357522
16	6194	358211
17	6554	357558
18	6925	357570
19	7260	355743
20	7675	357830
21	8036	357239
22	8406	357083
23	8783	357201
24	9151	356901
25	9513	356372
26	9885	356233
27	10194	353904
28	10531	352606
29	10930	353418
30	11257	351892
31	11593	350712
32	12090	354302
33	12739	361949
34	13134	362139
35	13470	360709
36	13843	360306
37	14239	360496
38	14591	359550
39	14932	358391
40	15252	356758
41	15622	356338
42	16020	356559
43	16370	355679
44	16714	354722
45	17048	353578
46	17549	355851
47	17939	355807
48	18300	355180
49	18622	353824
50	19018	353897
51	19495	355414
52	19944	356363
53	20265	355016
54	20605	354045
55	20946	353102
56	21288	352198
57	21663	351848
58	22082	352198
59	22599	354059
60	23006	354144
61	23312	352694
62	23618	351279
63	23940	350126
64	24338	350102
65	24682	349289
66	25023	348455
67	25372	347747
68	25735	347245
69	26152	347448
70	26488	346586
71	26926	347051
72	27232	345811
73	27550	344756
74	27947	344682
75	28265	343654
76	28625	343129
77	28934	342020
78	29380	342529
79	29721	341792
80	30062	341080
81	30411	340462
82	30785	340124
83	31128	339447
84	31502	339111
85	31932	339378
86	32268	338639
87	32653	338408
88	33019	337984
89	33442	338138
90	33902	338656
91	34207	337617
92	34613	337573
93	34945	336815
94	35322	336490
95	35718	336353
96	36091	335983
97	36439	335393
98	36796	334887
99	37148	334335
100	37511	333888
101	37855	333275
102	38245	333068
103	38650	332985
104	39051	332866
105	39451	332736
106	39823	332357
107	40158	331682
108	40506	331110
109	40844	330470
110	41177	329790
111	41504	329072
112	41840	328429
113	42210	328059
114	42596	327805
115	42921	327088
116	43285	326676
117	43656	326310
118	43979	325596
119	44352	325249
120	44705	324759
121	45089	324497
122	45417	323827
123	45883	324147
124	46305	324141
125	46653	323612
126	46992	323026
127	47323	322393
128	47681	321944
129	48103	321926
130	48415	321165
131	48795	320867
132	49172	320548
133	49549	320223
134	49867	319518
135	50350	319872
136	50773	319837
137	51115	319286
138	51453	318715
139	51800	318206
140	52110	317470
141	52607	317868
142	52980	317511
143	53383	317334
144	53733	316839
145	54049	316150
146	54452	315973
147	54924	316186
148	55340	316072
149	55687	315561
150	56044	315111
151	56367	314473
152	56747	314148
153	57119	313787
154	57463	313270
155	57820	312825
156	58137	312162
157	58504	311776
158	58875	311410
159	59221	310911
160	59613	310658
161	59944	310082
162	60342	309854
163	60701	309429
164	61053	308966
165	61457	308766
166	61800	308264
167	62135	307717
168	62587	307754
169	62959	307390
170	63341	307075
171	63682	306565
172	64037	306120
173	64349	305477
174	64683	304935
175	65035	304483
176	65410	304139
177	65836	304032
178	66355	304344
179	66799	304309
180	67134	303775
181	67564	303670
182	67896	303122
183	68264	302738
184	68723	302757
185	69033	302113
186	69302	301297
187	69671	300923
188	69996	300353
189	70312	299754
190	70700	299457
191	71009	298829
192	71351	298344
193	71676	297790
194	72006	297256
195	72293	296550
196	72662	296184
197	73041	295855
198	73430	295567
199	73792	295171
200	74101	294561
201	74404	293933
202	74737	293426
203	75092	293006
204	75520	292872
205	75810	292202
206	76202	291926
207	76657	291886
208	77066	291671
209	77386	291122
210	77703	290561
211	78116	290358
212	78580	290341
213	78898	289785
214	79226	289267
215	79636	289052
216	79930	288412
217	80299	288045
218	80721	287869
219	81102	287545
220	81503	287288
221	81906	287041
222	82315	286811
223	82687	286452
224	83028	285986
225	83368	285517
226	83799	285362
227	84120	284829
228	84466	284382
229	84851	284068
230	85243	283776
231	85606	283388
232	85991	283071
233	86328	282595
234	86681	282176
235	86980	281580
236	87291	281027
237	87677	280716
238	88057	280382
239	88450	280094
240	88752	279515
241	89122	279152
242	89495	278797
243	89951	278703
244	90289	278238
245	90689	277966
246	90986	277380
247	91377	277078
248	91769	276783
249	92144	276433
250	92498	276021
251	92898	275746
252	93227	275261
253	93541	274732
254	93919	274392
255	94326	274136
256	94634	273591
257	94937	273035
258	95272	272574
259	95648	272229
260	95993	271798
261	96384	271496
262	96700	270981
263	97065	270605
264	97383	270102
265	97715	269636
266	98110	269345
267	98533	269127
268	98916	268803
269	99299	268476
270	99658	268086
271	100003	267656
272	100396	267356
273	100709	266843
274	100961	266170
275	101409	266015
276	101808	265730
277	102139	265268
278	102479	264829
279	102793	264326
280	103099	263801
281	103375	263204
282	103812	263016
283	104214	262739
284	104602	262424
285	104994	262118
286	105403	261856
287	105790	261536
288	106131	261106
289	106460	260645
290	106838	260304
291	107243	260029
292	107610	259660
293	107970	259276
294	108305	258832
295	108621	258343
296	108985	257968
297	109359	257618
298	109968	257818
299	110392	257582
300	110769	257235
301	111160	256921
302	111519	256531
303	111858	256096
304	112268	255823
305	112627	255435
306	112993	255064
307	113327	254619
308	113714	254292
309	114063	253883
310	114435	253524
311	114817	253186
312	115152	252747
313	115508	252353
314	115835	251897
315	116170	251457
316	116517	251045
317	116756	250402
318	117157	250107
319	117522	249734
320	117946	249488
321	118278	249046
322	118694	248780
323	119066	248422
324	119455	248100
325	119785	247654
326	120168	247319
327	120528	246937
328	121015	246813
329	121336	246350
330	121679	245932
331	122024	245519
332	122428	245224
333	122821	244907
334	123172	244506
335	123546	244151
336	123851	243660
337	124149	243157
338	124461	242682
339	124874	242402
340	125221	241996
341	125609	241668
342	125982	241313
343	126398	241039
344	126718	240581
345	127122	240283
346	127464	239869
347	127769	239383
348	128066	238885
349	128512	238665
350	128918	238371
351	129290	238012
352	129611	237559
353	129915	237077
354	130164	236496
355	130540	236146
356	130887	235744
357	131259	235387
358	131680	235118
359	132035	234730
360	132341	234255
361	132700	233874
362	133052	233484
363	133423	233124
364	133796	232769
365	134115	232319
366	134473	231939
367	134841	231575
368	135233	231253
369	135605	230895
370	135955	230500
